,source,target,edge
8411,Day 22 visit,laboratory tests,nothave
8412,Open Label Single Center Study,different investigational therapeutic agents,compare
8413,ACTT-2,combination,evaluate
8414,infection control,ability,limit
8415,Day 22 visit,laboratory tests,nothave
8416,subjects,series,undergo
8417,subject,visit,is
8418,stage,different secondary endpoints,mayprioritize
8419,absolute lymphocyte,200 cells microliter,Lymphopenia (
8420,ClinicalTrials.gov,data,processed
8421,ClinicalTrials.gov,data,processed
8422,2020 theInternational Health Regulations Emergency Committee,"outbreak a""public health emergency",declared
8423,Spanish President,nationalemergency,outbreak
8424,studies,presence,reported
8425,ClinicalTrials.gov,data,processed
8426,Participants,sampling,undergointensive
8427,ClinicalTrials.gov,data,processed
8428,ClinicalTrials.gov,data,processed
8429,Frontline NHS staff,highest likelihood,contacthave
8430,Frontline NHS staff,highest likelihood,contacthave
8431,Participants,brief questions,complete
8432,ClinicalTrials.gov,data,processed
8433,Sphingosine-1-phosphate receptor,controlvascular leakage,ligands
8434,ClinicalTrials.gov,data,processed
8435,CALAVI US,safety,investigate
8436,Suspected,bacterial,uncontrolled
8437,aspartate aminotransferase,≥,limit of
8438,ClinicalTrials.gov,data,processed
8439,ClinicalTrials.gov,data,processed
8440,Participants,1 capsule,take
8441,doctors,information,collect
8442,Inclusion Criteria:-Age,written informed consent,hospitalised
8443,ClinicalTrials.gov,data,processed
8444,COVID-19 disease,worldwide attention,received
8445,strong arguments,study ofprobiotics,support
8446,participant,questionnaire thatwill focus,complete
8447,ClinicalTrials.gov,data,processed
8448,ClinicalTrials.gov,data,processed
8449,term cytokine storm,attention,captured
8450,investigators,successful phase 1b clinicaltrial,completed
8451,The SOC,Clexane,include
8452,ClinicalTrials.gov,data,processed
8453,ClinicalTrials.gov,data,processed
8454,Group,exchange transfusion,receive
8455,methyl,1 mg/ IV,Steroid
8456,ECG,daily.3,changes
8457,ClinicalTrials.gov,data,processed
8458,PROTECT open label randomised basket trial,effectiveness ofhydroxychloroquine,assess
8459,toCOVID-19.The master PROTECT protocol,core components,describes
8460,ClinicalTrials.gov,data,processed
8461,ClinicalTrials.gov,data,processed
8462,Treatment groups,Hyperbaric Oxygen Therapy,undergo
8463,Bothpopulations,inpatient medical treatment,receive
8464,patients,hyperbaric oxygen therapy,undergo
8465,ClinicalTrials.gov,data,processed
8466,ClinicalTrials.gov,data,processed
8467,duration,7 days study treatment,subjectincludes
8468,patients,theirclinical signs,document
8469,patients,clinical signs,document
8470,willbe,Physical examination,performed
8471,patients,patients clinical signs,document
8472,ClinicalTrials.gov,data,processed
8473,Therapeutic Plasmapheresis,Confirmed Diagnosis,confirmed
8474,current outbreak,more than two million,left
8475,ClinicalTrials.gov,data,processed
8476,ClinicalTrials.gov,data,processed
8477,ClinicalTrials.gov,data,processed
8478,Systematic Assessment,COVID-19,Patients Who Died From virologically confirmed
8479,Systematic Assessment,COVID-19,Patients Who Died From virologically confirmed
8480,ClinicalTrials.gov,data,processed
8481,Manifestations,shortness,include
8482,ClinicalTrials.gov,data,processed
8483,Prospective Observational Cohort Study,Long term Pulmonary Extrapulmonary Effects,Investigate
8484,Prospective Observational Cohort Study,Long term Pulmonary andExtrapulmonary Effects,Investigate
8485,nation wide Swiss COVID-19 lung group,meticulously characterizedprospective cohort study,establishes
8486,Inclusion Criteria:-Signed,informed consent.-All adult patients,written
8487,precluding,consent,informed
8488,ClinicalTrials.gov,data,processed
8489,ClinicalTrials.gov,data,processed
8490,Low dose lung radiotherapy,survival,improve
8491,Coronavirus disease,high mortality rate,carry
8492,ClinicalTrials.gov,data,processed
8493,Eligible participants,plasma,receive
8494,participants,series,undergo
8495,participantscan,longitudinal samples,provide
8496,Laboratory,diagnosis,confirmed
8497,ClinicalTrials.gov,data,processed
8498,ClinicalTrials.gov,data,processed
8499,invasive mechanical ventilation,participants,inhospitalized
8500,Subject,informed consent,provides
8501,Subject,known anaphylactic reaction,had
8502,Subject,therapy.7,Known alpha-1 antitrypsin deficiency for
8503,Platelet,"75,000 mm3",count
8504,Subject,history,has
8505,ClinicalTrials.gov,data,processed
8506,outcomes,thromboembolic venous disease,is
8507,investigator led non - commercial non - interventional study,patient identifiable information,collect
8508,ClinicalTrials.gov,data,processed
8509,ClinicalTrials.gov,data,processed
8510,National Cohort Study,adults,enroll
8511,Allparticipants,series,undergo
8512,ClinicalTrials.gov,data,processed
8513,ClinicalTrials.gov,data,processed
8514,ClinicalTrials.gov,data,processed
8515,ClinicalTrials.gov,data,processed
8516,pandemic,patients,threatens
8517,Thehost immunity,progress,determines
8518,associatedcytokine storm,lungs,affects
8519,participants,written consent,sign
8520,assessment,nutritional screening,include
8521,Criteria:-Tube,24 hours participation,feeding
8522,ClinicalTrials.gov,data,processed
8523,Immunoprophylaxis,irreplaceable protection,represents
8524,results,promise,shown
8525,evidence,safetyof convalescent plasma treatments,confirmed
8526,ClinicalTrials.gov,data,processed
8527,Primary secondary evaluations,assessment,include
8528,ClinicalTrials.gov,data,processed
8529,patients,atypical blood clots,have
8530,Participants,treatments,receive
8531,ClinicalTrials.gov,data,processed
8532,ClinicalTrials.gov,data,processed
8533,SARS CoV-2 virus,pandemic,caused
8534,data,theresponse,affect
8535,people,SARS CoV-2 virus,learn
8536,Participants,30-minute visits,have
8537,participants,online survey aboutthemselves,take
8538,ClinicalTrials.gov,data,processed
8539,patients,acardiovascular disease,got
8540,ClinicalTrials.gov,data,processed
8541,subjects,symptomsconsistent,Follow-upwould consist of
8542,ClinicalTrials.gov,data,processed
8543,randomized double blind placebo controlled trial,subjects,enroll
8544,Subjects,Screening,complete
8545,randomized double blind placebo controlled trial,subjects,enroll
8546,Subjects,Screening,complete
8547,COVID-19 outcomes,orrespiratory conditions,collected
8548,IL-1 IL-6 IL-10 TNF α,upper limit,defined
8549,ClinicalTrials.gov,data,processed
8550,ClinicalTrials.gov,data,processed
8551,investigators,arandomized double blind placebo controlled study design,employ
8552,ClinicalTrials.gov,data,processed
8553,ClinicalTrials.gov,data,processed
8554,ClinicalTrials.gov,data,processed
8555,the Sponsor,dose regimen,evaluate
8556,female subject,one of the following conditions,meet
8557,Provides,informed consent,signed
8558,ClinicalTrials.gov,data,processed
8559,Observationsfrom Study,conduct,inform
8560,Observationsfrom,conduct,inform
8561,Laboratory,infection,confirmed
8562,Presence,"50,000 per mm3",platelets
8563,ClinicalTrials.gov,data,processed
8564,ClinicalTrials.gov,data,processed
8565,Rationally adjustment,microbiological diagnosis,antibiotherapyrequires
8566,investigators,rapid molecular test,performed
8567,ClinicalTrials.gov,data,processed
8568,ClinicalTrials.gov,data,processed
8569,ClinicalTrials.gov,data,processed
8570,Study,treatment,evaluates
8571,Investigator,data collection,maintain
8572,ALT)/aspartate aminotransferase,over 5 times the ULN;4,elevated
8573,COVID-19,immediate treatment,beused
8574,ClinicalTrials.gov,data,processed
8575,COVID-19 pandemic,major disruption,caused
8576,safe effective vaccinefor COVID 19 prevention,significant global public health impact,have
8577,Inclusion Criteria:-Participants,18 to 55 years,aged
8578,ClinicalTrials.gov,data,processed
8579,patients,huge ongoing challenge,pose
8580,Allparticipants,standard care,receive
8581,ClinicalTrials.gov,data,processed
8582,Somelimited observational trials,benefitof hydroxychloroquine,shown
8583,ClinicalTrials.gov,data,processed
8584,the HCoV-19,nervous system,involve
8585,MSCs,positive role,playa
8586,Participant,informed consent,signed
8587,ClinicalTrials.gov,data,processed
8588,COVID-19 patients,high prevalence,havea
8589,ClinicalTrials.gov,data,processed
8590,ClinicalTrials.gov,data,processed
8591,ClinicalTrials.gov,data,processed
8592,ClinicalTrials.gov,data,processed
8593,Study D822FC00005,Phamacokinetics Safety tolerability ofAcalabrutinib suspension,investigate
8594,ClinicalTrials.gov,data,processed
8595,study,different investigational therapeutic agents,compare
8596,study,different investigational therapeutic agents,compare
8597,subjects,study visit,have
8598,infection control,theability,limit
8599,Day 22 visit,tests,havelaboratory
8600,subjects,series,undergo
8601,subject,visit,is
8602,ClinicalTrials.gov,data,processed
8603,ClinicalTrials.gov,data,processed
8604,HCWs,infection,is
8605,studies,COVID-19 Infection,investigated
8606,ClinicalTrials.gov,data,processed
8607,ClinicalTrials.gov,data,processed
8608,ClinicalTrials.gov,data,processed
8609,ClinicalTrials.gov,data,processed
8610,COVID-19and,outcomes,compare
8611,COVID-19 - Cytokine Storm,attention,captured
8612,publications,importantpart,indicated
8613,Infection,outcomes,andcompare
8614,ClinicalTrials.gov,data,processed
8615,researchers,clinical trials,havecarried out
8616,Trials,usedantivirals,have
8617,patients,2x10 ^ 6 cells,receive
8618,Cell Lab,dose Administration,issue
8619,ClinicalTrials.gov,data,processed
8620,Project,tests,evaluate
8621,cough andto,patients,intended for
8622,use,management,improve
8623,ClinicalTrials.gov,data,processed
8624,ClinicalTrials.gov,data,processed
8625,ClinicalTrials.gov,data,processed
8626,ClinicalTrials.gov,data,processed
8627,outbreakstarted,outbreakstarted,recognized
8628,fromprimary cases,identification,permit
8629,households.a household study design,evaluation,includes
8630,Medical staff,appropriate protective medical gear.3,use
8631,ClinicalTrials.gov,data,processed
8632,Project,single arm phase,includes
8633,emergency conditions,registration,prevented
8634,participants,dose,receive
8635,conditions,it)4,allow it)4
8636,ClinicalTrials.gov,data,processed
8637,ClinicalTrials.gov,data,processed
8638,ClinicalTrials.gov,data,processed
8639,whowill,changes,measure
8640,Chlorine,"3,000 ppm",dioxide
8641,researchers,complete virus vaccine,aim
8642,the Russian Ministry of Health,Russian hospitals,provided
8643,Chloroquine phosphate,apparent efficacy,shown
8644,Biochemistry,cell protection,defines
8645,Chlorine dioxide,viruses,removes
8646,New studies,New studies viability,demonstrate
8647,Nucleic acids,chain,consistof
8648,chlorine dioxide,genetic mutations,cause
8649,Orally administered chlorine dioxide,COVID infection,eliminates
8650,ClinicalTrials.gov,data,processed
8651,ClinicalTrials.gov,data,processed
8652,ClinicalTrials.gov,data,processed
8653,LTCH units,outbreak,randomized to
8654,ClinicalTrials.gov,data,processed
8655,ClinicalTrials.gov,data,processed
8656,clinical condition,rapidly2,Any patient
8657,ClinicalTrials.gov,data,processed
8658,ClinicalTrials.gov,data,processed
8659,Around 30%,hyper inflammatory statewhose progression,prevented by
8660,ClinicalTrials.gov,data,processed
8661,ClinicalTrials.gov,data,processed
8662,ClinicalTrials.gov,data,processed
8663,Platelet,"20,000 μL2",counts
8664,ClinicalTrials.gov,data,processed
8665,available kits,byHVD,supplied
8666,assay,entirecoronavirus genome,surveying
8667,Coronavirus variants,throughantigenic shift,emerge
8668,Ion Torrent targetednext generation sequencing,streamlined research workflow,enables
8669,ClinicalTrials.gov,data,processed
8670,Patient sampling locations,nasopharynx,includethe
8671,Operating room environmental locations,areas patient care arena,include
8672,normal environmental cleaning,place,used after
8673,normal environmental cleaning,place,used after
8674,ClinicalTrials.gov,data,processed
8675,Previous severe allergic reactions,occurred.7,have
8676,known suspected diseases,acute respiratory diseases,include
8677,ClinicalTrials.gov,data,processed
8678,Study,Demographic variables,considered
8679,risk factors,andmechanical ventilation,mcL
8680,Study,hospitalized patients,include
8681,ClinicalTrials.gov,data,processed
8682,Nitazoxanide,SARs CoV-2,inhibited
8683,Nitazoxanide,excellent drug drug interaction profile,has
8684,investigators,Nitazoxanide,propose
8685,persons,anenhanced risk group,constitute
8686,Phase 2b/3 clinical trial,thatoral administration,found
8687,Nitazoxanide,glycosylation,inhibit
8688,Nitazoxanide,inhibitoryactivity,exhibits
8689,investigators,randomised placebo controlled trialrecruiting,perform
8690,rate,hospitalisation rates,determine
8691,Patients,patient being.4,compromise
8692,ClinicalTrials.gov,data,processed
8693,ClinicalTrials.gov,data,processed
8694,ClinicalTrials.gov,data,processed
8695,Smoking,changes,causes
8696,COVID-19,smokers,understand
8697,Participants,6 monthly visits,have
8698,participants,blood tests,have
8699,Blood,saliva sample,provide
8700,Blood,questionnaires,complete
8701,Participants,monthly visits,have
8702,Participants,blood draws,have
8703,Participants,final visit,have
8704,Participants,blood tests,have
8705,smokers,higher risk,Early evidence in
8706,DNA methylation profiles,history,healthywith
8707,ClinicalTrials.gov,data,processed
8708,ClinicalTrials.gov,data,processed
8709,investigators,relationship,willexplore
8710,ClinicalTrials.gov,data,processed
8711,ClinicalTrials.gov,data,processed
8712,ClinicalTrials.gov,data,processed
8713,ClinicalTrials.gov,data,processed
8714,ClinicalTrials.gov,data,processed
8715,Proneposition,dependent lung regions,relieves
8716,ClinicalTrials.gov,data,processed
8717,COVID-19 pandemic,tremendous pressures,put
8718,biomarkers,increased erythrocyte sedimentation rates,include
8719,centers,utility,evaluated
8720,ClinicalTrials.gov,data,processed
8721,high doseThe iSRC,safety data,review
8722,WOCBP,negative urine pregnancy test,have
8723,ClinicalTrials.gov,data,processed
8724,Severe cases,typical course,mimic
8725,Early application ofthe GO2 PEEP MOUTHPIECE,outcomes,improve
8726,ClinicalTrials.gov,data,processed
8727,Participants,LY3819253,receive
8728,ClinicalTrials.gov,data,processed
8729,Evaluate,adverse reactions,ruxolitinib
8730,ClinicalTrials.gov,data,processed
8731,ClinicalTrials.gov,data,processed
8732,Study,600 adults,included
8733,Time,symptoms date,reported
8734,ClinicalTrials.gov,data,processed
8735,respiratory,globalpopulation,affected
8736,ClinicalTrials.gov,data,processed
8737,ClinicalTrials.gov,data,processed
8738,Study,safety,evaluate
8739,ClinicalTrials.gov,data,processed
8740,clinical characteristics,respiratory symptoms,include
8741,Critical illness,ICU support5,needs
8742,COVID-19,210 countries,spread
8743,arms,standard care,COVID-19
8744,ClinicalTrials.gov,data,processed
8745,CT,compatible pneumonia Suspected COVID-19 infection,showing
8746,ClinicalTrials.gov,data,processed
8747,subjects,series,undergo
8748,Inclusion Criteria:-Subject,written informed consent,provides
8749,ClinicalTrials.gov,data,processed
8750,Tracheobronchitis,the Main Sign of Respiratory Involvement,Constitute
8751,ClinicalTrials.gov,data,processed
8752,ClinicalTrials.gov,data,processed
8753,ClinicalTrials.gov,data,processed
8754,ClinicalTrials.gov,data,processed
8755,The NIV,intubtion rate,reduce
8756,The NIV,intubtion rate,reduce
8757,critically ill COVID-19 patients,intubtion,avoid
8758,ClinicalTrials.gov,data,processed
8759,TXA,infectivity andvirulence,hypothesized
8760,patients,apixaban 5 mg p.o . BID,receive
8761,Contact,ofdaily phone contact,consist
8762,ClinicalTrials.gov,data,processed
8763,ClinicalTrials.gov,data,processed
8764,Project,incorporation,pilot
8765,ClinicalTrials.gov,data,processed
8766,ClinicalTrials.gov,data,processed
8767,Convalescent Plasma,Disease Progression,Prevent
8768,ClinicalTrials.gov,data,processed
8769,Chinese scientists,genomeinformation,shared
8770,Thalidomide,angiogenesis,has
8771,total,cases nationwide(Hubei Province,confirmed
8772,Thalidomide,angiogenesis,has
8773,ClinicalTrials.gov,data,processed
8774,ClinicalTrials.gov,data,processed
8775,positive SARS CoV-2 carriage,written consent,given
8776,ClinicalTrials.gov,data,processed
8777,ill patients,one of the,meeting
8778,ClinicalTrials.gov,data,processed
8779,ClinicalTrials.gov,data,processed
8780,> 40 milligram,informed consent,provides
8781,ClinicalTrials.gov,data,processed
8782,ClinicalTrials.gov,data,processed
8783,ClinicalTrials.gov,data,processed
8784,subsequent follow phase,23 +3 days,comprises
8785,lung,>50%,infiltrates
8786,Subject,SoC treatment,receive
8787,ClinicalTrials.gov,data,processed
8788,Patients,COVID disease,Patient population
8789,median duration,impact,Evaluate
8790,ClinicalTrials.gov,data,processed
8791,ClinicalTrials.gov,data,processed
8792,ClinicalTrials.gov,data,processed
8793,Age,changeof status,predicted
8794,collaborators,recruitment,committedto
8795,ClinicalTrials.gov,data,processed
8796,patients,great benefit fromcorticosteroids,derive
8797,ClinicalTrials.gov,data,processed
8798,ClinicalTrials.gov,data,processed
8799,ClinicalTrials.gov,data,processed
8800,Participant,laboratory confirmed SARS CoV-2 infection,has
8801,ClinicalTrials.gov,data,processed
8802,the World Health Organization,coronavirus disease,declared
8803,deaths,"508,055 with a morality of 5.37%",confirmed in
8804,Egypt,"68,311confirmed cases",has
8805,Main symptoms,fever,include
8806,Common laboratory findings,lymphopenia,include
8807,Chestcomputed tomographic scans,typical pattern,show
8808,Atpresent,available therapeuticdrugs,repurposing
8809,Studies,light,shed
8810,(N=19,significantly better clinical outcomes,showed
8811,lung,> 50%,infiltrates
8812,ClinicalTrials.gov,data,processed
8813,NIRS,balance,reflects
8814,ClinicalTrials.gov,data,processed
8815,"more than 350,000",1,known to
8816,ClinicalTrials.gov,data,processed
8817,ClinicalTrials.gov,data,processed
8818,Hong Kong,"nearly 1,000 documented cases",seen
8819,Professor David SC HUI,publishedmultiple follow examinations,has
8820,COVID-19 patients,intensive care,require
8821,ManySARS survivors,post - traumatic stress disorder,developed
8822,Trauma,significant long term morbidity anddecreased quality,experienced
8823,patients,similar fate,suffer
8824,knowledge,SARS experience,gainedfrom
8825,ClinicalTrials.gov,data,processed
8826,Meplazumab,associated cytokine storm syndrome,inhibit
8827,total number,Stage 1 Day 29 visit procedures,stopped
8828,5 × ULN,5 ×,phosphatase
8829,ClinicalTrials.gov,data,processed
8830,Severe acute respiratory syndrome coronavirus,coronavirus disease,causes
8831,people,symptoms,have
8832,participants,bloodsamples,provide
8833,ClinicalTrials.gov,data,processed
8834,Subjects,informed consent,provide
8835,Subjects,laboratory confirmed SARS CoV-2 infection,have
8836,ClinicalTrials.gov,data,processed
8837,receptor availability,multi - organ involvement,suggests
8838,ClinicalTrials.gov,data,processed
8839,Subjects,symptoms,exhibit
8840,Subjects,at least one,have
8841,Subjects,documented positive test,have
8842,Health condition,safety,deemed to
8843,ClinicalTrials.gov,data,processed
8844,majority,mild symptoms,progress to
8845,Numerous preclinical studies,role,addressed
8846,Recent studies,antiviral activities,documented
8847,ClinicalTrials.gov,data,processed
8848,ClinicalTrials.gov,data,processed
8849,ClinicalTrials.gov,data,processed
8850,ClinicalTrials.gov,data,processed
8851,Prevention and/or treatment,large impact,have
8852,Previous study,2 arms,have
8853,Arm,patients,recruit
8854,Primary analysis,logistic regression,include
8855,ClinicalTrials.gov,data,processed
8856,ClinicalTrials.gov,data,processed
8857,100 g,20.1 gof protein,contain
8858,group,5 meals,needs
8859,vitamin D,functioning,modulates
8860,Investigators,contexts,examine
8861,Investigators,participant acts,like
8862,Patients,increased demand,have
8863,Selenium supplementation,viral rate3,reduces
8864,Selenium supplementation,the BMI,improves
8865,Selenium supplementation,COVID-19 related mortality6,postponed
8866,Nutrition education,health status8,improves
8867,acute cause,person,consider
8868,Clinical monitoring,episode,had
8869,ClinicalTrials.gov,data,processed
8870,hazard ratio,treatment,favor
8871,Inclusion Criteria:-19 years or,hospitalizationExclusion Criteria:-Sinonasal tumor Hypersensitivity,require
8872,ClinicalTrials.gov,data,processed
8873,Clinical studies,improvements,shown
8874,Inclusion Criteria:-Patients,≥,aged
8875,ClinicalTrials.gov,data,processed
8876,Patients,covalescent plasma,receive
8877,Patients,extracorporeal oxygenation,bestratified
8878,ClinicalTrials.gov,data,processed
8879,ClinicalTrials.gov,data,processed
8880,Secondary outcomes,clinical deterioration requiringadmission,include
8881,Inclusion Criteria:-Adult participant,tomography angiography,computed
8882,ClinicalTrials.gov,data,processed
8883,ClinicalTrials.gov,data,processed
8884,uric acid -Renal functions,function testsRandomization method,generated by
8885,Computer generatedrandom numbers,participants,randomize
8886,ClinicalTrials.gov,data,processed
8887,ClinicalTrials.gov,data,processed
8888,individuals,"SARS CoV-2,adults",affected
8889,ClinicalTrials.gov,data,processed
8890,sites,patients,enroll
8891,excess cytokines,secondaryhemophagocytic lymphhistiocytosis,proposed
8892,Cobas SARS-CoV-2 real time RT-PCR,nasopharyngeal swab sample,Confirmed COVID-19 disease
8893,patient,capacity,obtained from
8894,protocol,pregnant subjects,exclude
8895,ClinicalTrials.gov,data,processed
8896,randomized controlled trials,randomized controlled trials efficacy,demonstrated
8897,majority,majority,represent
8898,Patients,trial,continuethe
8899,ClinicalTrials.gov,data,processed
8900,ClinicalTrials.gov,data,processed
8901,Study,population,presents
8902,Patients,treatment,have
8903,ClinicalTrials.gov,data,processed
8904,Eligible participants,male female participants,include
8905,Inclusion CriteriaParticipants,following criteria,satisfy
8906,ClinicalTrials.gov,data,processed
8907,Study,data,obtain
8908,Additional data,response strategies,beobtained on
8909,characterized cohort,characterization,enable
8910,outcomes,longitudinallyfor,recruited throughout
8911,logistic regression,self reported baselinehealth status,include
8912,ClinicalTrials.gov,data,processed
8913,laboratoryparameters,assessment,facilitate
8914,Study,90 patients,enrolled
8915,ClinicalTrials.gov,data,processed
8916,Implications,ICOLS,the Lifestyle Changes and Supports Used
8917,Thequestions,changes,investigates
8918,ClinicalTrials.gov,data,processed
8919,Subjects,one of the followingtreatments,receive
8920,ClinicalTrials.gov,data,processed
8921,COVID-19 pandemic,challenge,presents
8922,Participants,questionnaire,complete
8923,Participants,blood sample,give
8924,Participants,theirblood sample,contacted by
8925,COVID-19 pandemic,challenge,presents
8926,protocol,identifiable participants,enroll
8927,Patient/Participants,toparticipate,invited
8928,ClinicalTrials.gov,data,processed
8929,ClinicalTrials.gov,data,processed
8930,ClinicalTrials.gov,data,processed
8931,ClinicalTrials.gov,data,processed
8932,infections,6million persons,approaching
8933,investigators,effect,compare
8934,Aparticipant involvement,up to 33 days,last
8935,ClinicalTrials.gov,data,processed
8936,ClinicalTrials.gov,data,processed
8937,ClinicalTrials.gov,data,processed
8938,Subject,ongoing medical history,has
8939,ClinicalTrials.gov,data,processed
8940,outbreak,byinfection,caused
8941,ClinicalTrials.gov,data,processed
8942,ClinicalTrials.gov,outcome data,processed
8943,ClinicalTrials.gov,data,processed
8944,Patients,instructional video,view
8945,Patients,breathing techniques,thenperform
8946,ClinicalTrials.gov,data,processed
8947,ClinicalTrials.gov,data,processed
8948,pandemic,unprecedented challenges,poses
8949,ClinicalTrials.gov,data,processed
8950,ClinicalTrials.gov,data,processed
8951,participating patients,providedaccording,receive
8952,patient,treatment,know
8953,ClinicalTrials.gov,data,processed
8954,ClinicalTrials.gov,data,processed
8955,ClinicalTrials.gov,data,processed
8956,Fisetin treatment,deterioration,determine
8957,Plasma,300 or as per clinical judgment,glucose
8958,ClinicalTrials.gov,data,processed
8959,Longitudinal Observational Study,Heart Hive,uses
8960,Patients,interruption,experienced
8961,ClinicalTrials.gov,data,processed
8962,ClinicalTrials.gov,data,processed
8963,the World HealthOrganization,global pandemic,declared
8964,Preliminary epidemiological reports,increasedrisk,showed
8965,studies,refutedthese claims,have
8966,population,patients,include
8967,Inclusion Criteria,patients,Include
8968,ClinicalTrials.gov,data,processed
8969,Child Pugh,C,Severe liver disease
8970,ClinicalTrials.gov,data,processed
8971,ClinicalTrials.gov,data,processed
8972,Trial,18 to 59 Years,Aged
8973,ClinicalTrials.gov,data,processed
8974,Adults 18yo hospitalised patients,COVID-19 infection,confirmed
8975,ClinicalTrials.gov,data,processed
8976,laboratory,COVID-19;3,confirmed
8977,i. Chest radiograph,bilateral opacities,showing
8978,i. Chest radiograph,bilateral opacities,showing
8979,Patients,result,have
8980,Patients,assay,have
8981,ClinicalTrials.gov,data,processed
8982,ClinicalTrials.gov,data,processed
8983,Potential participants,remote eligibility,undergo
8984,ClinicalTrials.gov,data,processed
8985,ClinicalTrials.gov,data,processed
8986,data donations frominternal external health care professionals,anonymized dataabout patients,a de-identifiedcentralized registry
8987,ClinicalTrials.gov,data,processed
8988,researchers,40 patients,treat
8989,surveys,COVID-19 symptoms severity,assess
8990,ClinicalTrials.gov,data,processed
8991,ClinicalTrials.gov,data,processed
8992,research team,6-week intervention,piloted
8993,pandemic,potential,presents
8994,ClinicalTrials.gov,data,processed
8995,Effective contraception,surgicalsterilization,includes
8996,ClinicalTrials.gov,data,processed
8997,patients,escalatingpharmacologic AA,receive
8998,66 subjects,escalatingpharmacologic AA treatments,randomized
8999,ClinicalTrials.gov,data,processed
9000,the World Health Organization,firstrecommendations,made
9001,WHODirector-General Tedros Adhanom Ghebreyesus,SARS CoV-2.5 outbreak,declares
9002,Mortality,up to 61%,beenreported
9003,100%,antibodies,detected
9004,Risks,TRALI,include
9005,Rare complications,transmission ofinfectious diseases,include
9006,national transfusion center,guidelines,published
9007,COVID-19 infection,high rate,had
9008,COVID-19 infection,highest rate,presented
9009,proposed treatments,adequate margin,have
9010,proposed treatments,adequate safety profile,have
9011,Ratio,CoV-2,toinspired
9012,ClinicalTrials.gov,data,processed
9013,inclusion visit,followingexamination,included
9014,"physical examination,- vital signs,- weight,- CBC laboratory testresult,-Chest X ray or CT chest Blood",-Pro BNP,assay
9015,nasoparyngeal swab willbe,1 2 day,performed
9016,ClinicalTrials.gov,data,processed
9017,Patients,symptoms,exhibit
9018,Patients,documented SARS CoV-2 RNA positive test virus,have
9019,Patients,100 × 10⁹/L);6,count
9020,ClinicalTrials.gov,data,processed
9021,gold standard,application,requires
9022,aerosols,potential harms,pose
9023,use,problems,solve
9024,ClinicalTrials.gov,data,processed
9025,ClinicalTrials.gov,data,processed
9026,ClinicalTrials.gov,data,processed
9027,Findings,new insight,provide
9028,required information,demographic data,includes
9029,ClinicalTrials.gov,data,processed
9030,Tele rehabilitation group,exercise program,perform
9031,Home exercise group,exercises,perform
9032,physiotherapist,patients,made
9033,ClinicalTrials.gov,data,processed
9034,Randomized Controlled Trial,safety,assess
9035,AZD1656,additional benefits,have
9036,Blood,level,glucose
9037,ClinicalTrials.gov,data,processed
9038,Laboratory,COVID-19;3,confirmed
9039,time,more than 4,exceed
9040,TBIL>=2,normal upper limit,times
9041,ClinicalTrials.gov,data,processed
9042,ClinicalTrials.gov,data,processed
9043,severe COVID-19 pneumonia,levilimab,receive
9044,investigator,arescue therapy - open label LVL,administer
9045,300 mmHg imaging,lesion progression,showed
9046,ClinicalTrials.gov,data,processed
9047,ClinicalTrials.gov,data,processed
9048,ClinicalTrials.gov,data,processed
9049,Participants,at least 1,have
9050,ClinicalTrials.gov,data,processed
9051,ClinicalTrials.gov,data,processed
9052,effectiveness,systematic incorporation inpost ICU rehabilitation protocols,proving
9053,ClinicalTrials.gov,data,processed
9054,ClinicalTrials.gov,data,processed
9055,ClinicalTrials.gov,data,processed
9056,control group,protectiveequipment,use
9057,firstintervention team,daily diet,receive
9058,ClinicalTrials.gov,data,processed
9059,study,efficacy,willevaluate
9060,PVP,1:30,used
9061,ClinicalTrials.gov,data,processed
9062,efficacy,patients,inhospitalized
9063,fever,fever,have
9064,aPTT,blood cell count creatinine levels,started on
9065,hypersensitivity,thrombocytopenia -Presence,induced
9066,ClinicalTrials.gov,data,processed
9067,New York Heart Association functional class Taking medications,antipsychotic antidepressant medications,include
9068,ClinicalTrials.gov,data,processed
9069,Subject,guardianship,protected
9070,ClinicalTrials.gov,data,processed
9071,ClinicalTrials.gov,data,processed
9072,treatment,care,include
9073,cases,cases,found
9074,Early research inthis laboratory,UC MSCs,used
9075,McGill RAAS COVID-19 Trial,48 patients,recruit
9076,ClinicalTrials.gov,data,processed
9077,Chinese scientists,genomeinformation,shared
9078,randomized controlled double blind trial,ofremdesivir,evaluate
9079,Chinese scientists,genomeinformation,shared
9080,randomized controlled double blind trial,ofremdesivir,evaluate
9081,Laboratory,COVID-19.3,confirmed
9082,e.g. Child Pugh,≥ C,Severe liver disease
9083,ClinicalTrials.gov,data,processed
9084,ClinicalTrials.gov,data,processed
9085,large epidemic,available hospital capacity,challenge
9086,nurses,emergency rooms,Study population
9087,Secondary endpoints,number,include
9088,exclusion category,subjects,comprises
9089,ClinicalTrials.gov,data,processed
9090,HCW,baseline assessment,get
9091,HCW,baseline assessment,get
9092,ClinicalTrials.gov,data,processed
9093,treatment,lung inflammation,reduce
9094,decay,sequentiallyunder treatment,I. Describe
9095,Patients,baricitinib,receive
9096,Patients,(PO) PO,receive
9097,Women,highly effective methods,use
